2	401070028508001796076928051800059260004107985650000100000680070060095000005000030	41
3	908750300520693814600804000002030048470580000005000709201379486834000000006400003	40
4	090010206803620000006357109938201450050000000104500090080040020620080700070032861	42
5	700048536059673042304052978570204610042590087000007200405009000906435720200061495	31
6	000006080070010560861209037080793040007080000405100790000020300900500020726008050	46
7	506000007489051362273460195920087530348000671005003009002800000634200908890004050	35
8	140729506260301907730400102401230760006590000087106020070050001910602458852904673	31
9	002104000000735960763809015015080300000006079607952048004000000000600030000008201	46
10	710000050503907240809230601090004003070503000000090704100300807000472900907006430	44
11	750900620128360049006400810000603001400057390563029480070200108801500972239010004	35
12	546937210389200745270058693010000000700084560605091400450879120168040930000100054	32
13	380700040570418603000053008004000002820030000135090084000007856400002037008300400	120
14	150006980603280501028154030060020100010000459480900026000042065047008213000071090	39
15	002600700407090320815027469050100946100400582600209003546012807700500690300780200	36
16	705000080000508000482107900203001806600984005058236174026003049800490201194070508	36
17	005017963790005412162340000321080600509032841084001030430950100208000395056123704	31
18	000802104140000200050040906403250009000068020621709508000516070030900010816007095	42
19	600089040498301052700200098200803406840000015107520839900002000504090301072100960	38
20	059800700401000360308170000005004093084320675036000214162089000897000056043610982	36
21	000402010710060592060570000107000925695287400430005870541329060920758103800146059	32
22	030012560690058140541796083000000804000000920025809731059004310080935672763281490	31
23	700391002062870190010060738023900500609100200071530400006409820504708300207000000	40
24	400008593305470002910302400800701059200804067796000810087005030529137000034980005	36
25	000183790080705060500900340034000906800400137091037024308074000275090000140308672	38
26	680754129079380400204000800408290617906417005007630942791000230800970001305020090	33
27	009843067408260000630570480094000600700400590305010742980027000000100903010394006	40
28	840100509000945170900207003000706002400010395000059006681500007209600800704300261	41
29	050370000097861003801045000714650298600792134309080567900007380070028609540930702	32
30	980050063050006000176030205395628014867041902021390600000800046000260000018070029	38
31	078609005026800073900017628407580000651072030800960750504038090283096041019040386	32
32	027460501410305020500020094605200010032000000748091035963000150800902600070530908	39
33	690178402080526009071304068060000200349750081028601973012400390050903826930200045	31
34	000400861384100290900825470150002749800746050740510638008934520095208006200051900	32
35	872540031030702854140003706786020010950061207020987645097000568013670402060009100	31
36	503091008009846000480253097605938010017060980092007065938070040156320879074600053	31
37	300005007008603029062000045000910764001030000609478503097301406140709032000860970	39
38	135407000684090000200305460051708090023106080008942013319000650502603840806079100	35
39	109085720000139800000004301782051603300067002516423078001308205603010089928046100	33
40	720043815680002030153700600500430280470810056060275090045360120207501960816904003	31
41	020075430300824009407000265673940020059060340010007890008412000100090000500786910	39
42	014609870507843290398120450040918005100704080809205040000501009070090030905086704	35
43	005760904080024103743008500869030040002600831301480092130000460694300000000040307	39
44	010400906749106320508030471001250090007091500000067804806500249120040008304028050	37
45	003042009089001564016598000000000700940030200067080950820000030300406095090800420	44
46	613800945004360010020041836470239500102507000050010029061050403709623058835004602	32
47	730400051100506238502300007305084009419060000000159400850620790946830000070940006	38
48	806031059010200000005896401562049008103027004000068200001754086638910507054680002	35
49	076082500012006387835140200620900705094730800700268100000603058507000403089450670	35
50	009730621005091038000000095216850074793006582408970060100520806000060300004018057	37
52	058270900000160080000038014700640109904083072065710300401896005007000400000020091	42
53	807000002006902804024008079003094706548200913679503008000105600701306205005000381	37
54	480000569009000001000000780074390100158060004690154008960030000020946015045071600	42
55	000208409021073580004916000200340605700605198690701003857064932009030001000007064	37
56	570023000004100962120406753000370240480001507097548136968705420012600005305802600	32
57	000175400081024596453689201010436920907852160006090085009008000074900652060000819	33
58	142038000300054701507009423078013090010580372050970108020005617000607050705841239	33
59	046730901980041735107850000213060897490100260008020010829400000000200008600370100	39
60	705400801613027049800003000900001250080605913001982764090068025260034190530209406	33
